,Parameter,Precision (m)*,Accuracy (m)**
0,Horizontal RMSE***,0.013,0.013
1,Vertical RMSE****,0.026,0.028
2,Horizontal 2dRMSE***,0.026,0.026
3,Vertical 2dRMSE****,0.053,0.056
4,North Coordinate Standard Deviation,0.0094,
5,East Coordinate Standard Deviation,0.0093,
6,Height Standard Deviation,0.0264,
7,North Coordinate Mean,6687768.3916,
8,East Coordinate Mean,394444.8156,
9,Height Mean,25.1207,
10,North Coordinate Median,6687768.392,
11,East Coordinate Median,394444.815,
12,Height Median,25.12,
