Point Number,Code,Date,Time,Solution,Physical Station ID,Virtual Station ID,Northing,Easting,Ell Ht,Elev,Ant Ht,HRMS,VRMS,HDOP,VDOP,PDOP,GDOP,TDOP,GPS,GLONASS,GALILEO,BEIDOU,SBAS,QZSS
1,,2019-05-24,09:18:24,FIXED,16,271,6687768.397,394444.827,42.6840,25.1887,1.6840,0.015,0.031,0.427,0.965,0.865,1.101,,11,8,8,7,0,0
2,,2019-05-24,09:21:14,FIXED,16,271,6687768.412,394444.813,42.7282,25.2329,1.6840,0.017,0.037,0.424,0.964,0.865,1.101,,11,8,7,6,0,0
3,,2019-05-24,09:21:19,FIXED,16,271,6687768.408,394444.813,42.7173,25.2220,1.6840,0.017,0.036,0.441,0.977,0.872,1.114,,11,8,7,6,0,0
4,,2019-05-24,09:21:20,FIXED,16,271,6687768.408,394444.813,42.7209,25.2256,1.6840,0.017,0.036,0.441,0.977,0.872,1.114,,11,8,7,6,0,0
5,,2019-05-24,09:21:21,FIXED,16,271,6687768.407,394444.810,42.7178,25.2225,1.6840,0.017,0.036,0.441,0.977,0.872,1.114,,11,8,7,6,0,0
6,,2019-05-24,09:21:22,FIXED,16,271,6687768.407,394444.809,42.7195,25.2242,1.6840,0.017,0.036,0.430,0.967,0.866,1.104,,11,8,7,7,0,0
7,,2019-05-24,09:21:23,FIXED,16,271,6687768.408,394444.807,42.7246,25.2293,1.6840,0.017,0.036,0.430,0.967,0.866,1.104,,11,8,7,6,0,0
8,,2019-05-24,09:21:24,FIXED,16,271,6687768.408,394444.807,42.7260,25.2307,1.6840,0.017,0.036,0.430,0.967,0.866,1.104,,11,8,7,6,0,0
9,,2019-05-24,09:21:25,FIXED,16,271,6687768.411,394444.811,42.7322,25.2369,1.6840,0.017,0.036,0.441,0.977,0.872,1.114,,11,8,7,6,0,0
10,,2019-05-24,09:21:26,FIXED,16,271,6687768.411,394444.812,42.7412,25.2459,1.6840,0.017,0.036,0.441,0.977,0.872,1.114,,11,8,7,6,0,0
