Point Number,Code,Date,Time,Solution,Physical Station ID,Virtual Station ID,Northing,Easting,Ell Ht,Elev,Ant Ht,HRMS,VRMS,HDOP,VDOP,PDOP,GDOP,TDOP,GPS,GLONASS,GALILEO,BEIDOU,SBAS,QZSS
1,,2019-05-24,09:32:15,FIXED,-1,17,6687768.384,394444.824,42.784,25.289,1.684,0.014,0.032,0.609,1.249,1.390,1.565,,10,7,0,0,0,0
2,,2019-05-24,09:32:16,FIXED,-1,17,6687768.384,394444.827,42.783,25.288,1.684,0.014,0.032,0.609,1.249,1.390,1.565,,10,7,0,0,0,0
3,,2019-05-24,09:32:17,FIXED,-1,17,6687768.382,394444.825,42.781,25.285,1.684,0.014,0.033,0.609,1.249,1.390,1.565,,10,7,0,0,0,0
4,,2019-05-24,09:32:18,FIXED,-1,17,6687768.381,394444.824,42.775,25.280,1.684,0.014,0.032,0.609,1.249,1.390,1.565,,10,7,0,0,0,0
5,,2019-05-24,09:32:19,FIXED,-1,17,6687768.381,394444.823,42.775,25.279,1.684,0.014,0.032,0.609,1.249,1.390,1.565,,10,7,0,0,0,0
6,,2019-05-24,09:32:20,FIXED,-1,17,6687768.381,394444.826,42.773,25.278,1.684,0.014,0.032,0.609,1.249,1.390,1.564,,10,7,0,0,0,0
7,,2019-05-24,09:32:21,FIXED,-1,17,6687768.384,394444.821,42.791,25.295,1.684,0.014,0.032,0.609,1.249,1.390,1.564,,10,7,0,0,0,0
8,,2019-05-24,09:32:22,FIXED,-1,17,6687768.382,394444.822,42.769,25.274,1.684,0.014,0.032,0.609,1.249,1.390,1.564,,10,7,0,0,0,0
9,,2019-05-24,09:32:23,FIXED,-1,17,6687768.384,394444.824,42.776,25.281,1.684,0.014,0.032,0.609,1.249,1.390,1.564,,10,7,0,0,0,0
10,,2019-05-24,09:32:24,FIXED,-1,17,6687768.384,394444.826,42.778,25.282,1.684,0.014,0.032,0.609,1.249,1.390,1.564,,10,7,0,0,0,0
11,,2019-05-24,09:32:25,FIXED,-1,17,6687768.381,394444.824,42.776,25.280,1.684,0.015,0.033,0.609,1.249,1.390,1.564,,10,7,0,0,0,0
12,,2019-05-24,09:32:26,FIXED,-1,17,6687768.384,394444.823,42.781,25.286,1.684,0.015,0.033,0.609,1.249,1.390,1.564,,10,7,0,0,0,0
13,,2019-05-24,09:32:27,FIXED,-1,17,6687768.386,394444.819,42.781,25.285,1.684,0.015,0.033,0.609,1.249,1.390,1.564,,10,7,0,0,0,0
14,,2019-05-24,09:32:28,FIXED,-1,17,6687768.385,394444.823,42.782,25.286,1.684,0.015,0.034,0.609,1.249,1.390,1.564,,10,7,0,0,0,0
15,,2019-05-24,09:32:29,FIXED,-1,17,6687768.381,394444.824,42.776,25.281,1.684,0.015,0.034,0.609,1.249,1.390,1.564,,10,7,0,0,0,0
16,,2019-05-24,09:32:30,FIXED,-1,17,6687768.381,394444.823,42.765,25.269,1.684,0.015,0.034,0.609,1.249,1.389,1.564,,10,7,0,0,0,0
17,,2019-05-24,09:32:31,FIXED,-1,17,6687768.371,394444.830,42.741,25.245,1.684,0.015,0.035,0.654,1.334,1.486,1.669,,10,6,0,0,0,0
18,,2019-05-24,09:32:32,FIXED,-1,17,6687768.372,394444.828,42.750,25.254,1.684,0.015,0.034,0.654,1.334,1.486,1.669,,10,6,0,0,0,0
19,,2019-05-24,09:32:33,FIXED,-1,17,6687768.378,394444.829,42.756,25.261,1.684,0.014,0.031,0.609,1.249,1.389,1.564,,10,7,0,0,0,0
20,,2019-05-24,09:32:34,FIXED,-1,17,6687768.378,394444.830,42.754,25.258,1.684,0.014,0.032,0.609,1.249,1.389,1.564,,10,7,0,0,0,0
21,,2019-05-24,09:32:35,FIXED,-1,17,6687768.373,394444.831,42.745,25.250,1.684,0.014,0.031,0.654,1.334,1.486,1.668,,10,7,0,0,0,0
22,,2019-05-24,09:32:36,FIXED,-1,17,6687768.371,394444.829,42.735,25.240,1.684,0.014,0.031,0.654,1.334,1.486,1.668,,10,7,0,0,0,0
23,,2019-05-24,09:32:37,FIXED,-1,17,6687768.371,394444.830,42.741,25.246,1.684,0.013,0.030,0.654,1.334,1.485,1.668,,10,7,0,0,0,0
24,,2019-05-24,09:32:38,FIXED,-1,17,6687768.371,394444.830,42.742,25.247,1.684,0.013,0.030,0.654,1.333,1.485,1.668,,10,6,0,0,0,0
25,,2019-05-24,09:32:39,FIXED,-1,17,6687768.372,394444.827,42.746,25.251,1.684,0.013,0.029,0.654,1.333,1.485,1.668,,10,7,0,0,0,0
26,,2019-05-24,09:32:40,FIXED,-1,17,6687768.373,394444.828,42.743,25.248,1.684,0.013,0.029,0.654,1.333,1.485,1.668,,10,7,0,0,0,0
27,,2019-05-24,09:32:41,FIXED,-1,17,6687768.372,394444.831,42.746,25.251,1.684,0.013,0.029,0.609,1.248,1.389,1.563,,10,7,0,0,0,0
28,,2019-05-24,09:32:42,FIXED,-1,17,6687768.374,394444.830,42.750,25.255,1.684,0.013,0.029,0.609,1.248,1.389,1.563,,10,7,0,0,0,0
29,,2019-05-24,09:32:43,FIXED,-1,17,6687768.372,394444.827,42.747,25.251,1.684,0.012,0.027,0.609,1.248,1.389,1.563,,10,7,0,0,0,0
30,,2019-05-24,09:32:44,FIXED,-1,17,6687768.373,394444.826,42.753,25.258,1.684,0.012,0.028,0.609,1.248,1.389,1.563,,10,7,0,0,0,0
31,,2019-05-24,09:32:45,FIXED,-1,17,6687768.372,394444.826,42.756,25.261,1.684,0.012,0.028,0.654,1.332,1.484,1.667,,10,7,0,0,0,0
32,,2019-05-24,09:32:46,FIXED,-1,17,6687768.374,394444.828,42.753,25.258,1.684,0.012,0.027,0.609,1.248,1.389,1.563,,10,7,0,0,0,0
33,,2019-05-24,09:32:47,FIXED,-1,17,6687768.373,394444.829,42.746,25.251,1.684,0.012,0.027,0.654,1.332,1.484,1.667,,10,7,0,0,0,0
34,,2019-05-24,09:32:48,FIXED,-1,17,6687768.370,394444.830,42.749,25.253,1.684,0.012,0.027,0.609,1.248,1.389,1.563,,10,7,0,0,0,0
35,,2019-05-24,09:32:49,FIXED,-1,17,6687768.373,394444.829,42.753,25.258,1.684,0.012,0.027,0.609,1.248,1.389,1.563,,10,7,0,0,0,0
36,,2019-05-24,09:32:50,FIXED,-1,17,6687768.371,394444.827,42.750,25.255,1.684,0.012,0.027,0.654,1.332,1.484,1.666,,10,7,0,0,0,0
37,,2019-05-24,09:33:02,FIXED,-1,17,6687768.371,394444.829,42.752,25.256,1.684,0.013,0.030,0.609,1.247,1.388,1.562,,10,7,0,0,0,0
